"","model.name","BIC","deltaBIC","logLik"
"1","Treatment x Temperature + Temperature x Length",4360.52337314692,0,-2150.74
"2","Treatment x Temperature + Length",4362.81732033808,2.29,-2156.11
"3","Treatment x Temperature",4366.76167138671,6.24,-2162.3
"4","Treatment x Temperature + Treatment x Length + Temperature x Length",4368.5724063845,8.05,-2150.55
"5","Treatment x Temperature + Treatment x Length",4369.54477024146,9.02,-2155.25
"6","Temperature x Length + Treatment",4392.48365304347,31.96,-2170.94
"7","Length + Treatment + Temperature",4392.87554660623,32.35,-2175.35
"8","Treatment + Temperature",4397.83576365679,37.31,-2182.05
"9","Treatment x Length + Temperature",4398.9449692338,38.42,-2174.17
"10","Treatment x Length + Temperature x Length",4399.95589142735,39.43,-2170.46
"11","Treatment + Length",4431.09991393883,70.58,-2198.68
"12","Treatment x Length",4437.29035940023,76.77,-2197.56
"13","Treatment",4437.92462513234,77.4,-2206.31
"14","Temperature + Length",5831.44357488823,1470.92,-2898.85
"15","Temperature",5837.80819809239,1477.28,-2906.25
"16","Temperature x Length",5838.45258546458,1477.93,-2898.14
"17","Length",5869.25364878587,1508.73,-2921.98
"18","Null",5877.37135581078,1516.85,-2930.25
