"Trial","Air Temp (°C)","Salinity (ppm)","Treatment 0 min","Treatment 30 min","Treatment 60 min","Treatment 90 min","Treatment 120 min","Total Start","Total End","Lost","Unbanded"
1,12.9,31.2,80,76,81,80,0,317,274,43,44
2,12.9,29.9,37,55,55,55,0,202,188,14,24
3,15.2,30.4,40,78,79,82,0,279,257,22,26
4,10.7,31.3,60,60,63,60,0,243,215,28,22
5,13,28.6,40,40,40,40,0,160,153,7,10
6,14.1,31.3,36,36,35,35,0,142,104,38,4
7,14.3,31.4,50,50,50,50,50,250,209,41,17
8,12.8,30.3,70,70,70,70,0,280,285,-5,14
9,13.6,26.2,39,39,39,39,0,156,117,39,9
10,15.5,30,54,54,54,54,54,270,201,69,24
13,12,24.5,56,56,56,56,0,224,212,12,6
14,12.3,26,30,30,30,30,0,120,108,12,3
15,11.9,27.5,70,70,70,70,70,350,295,55,3
16,13.5,30,70,70,70,70,70,350,348,2,15
17,14.3,29,60,60,60,60,60,300,272,28,11
18,11.5,25.6,70,69,70,70,70,349,344,5,12
19,17.8,25.1,70,70,70,70,70,350,309,41,7
20,25.7,25.4,70,70,70,70,70,350,345,5,10
21,22.2,24.7,44,44,44,44,0,176,176,0,5
22,25.4,25.4,70,70,70,70,70,350,343,7,4
23,18.7,25.9,60,60,60,60,60,300,297,3,3
