"","trial_number","trap_number","prawn_id","stage","treatment","abdomen_turgor","abdomen_retraction","leg_movement","leg_retraction","maxilliped_movement","maxilliped_retraction","antenna","eye_turgor","pleopods","mouth","comments","Person","All_id","score"
"1",9,1,1,3,90,1,0,1,0,1,1,0,1,0,1,"Missing telson","EA","9 - 1 - 1",6
"2",9,1,2,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 1 - 2",10
"3",9,1,3,1,60,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 1 - 3",10
"4",9,1,4,1,60,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 1 - 4",10
"5",9,1,5,1,60,1,1,1,1,1,1,0,1,1,1,"","EA","9 - 1 - 5",9
"6",9,1,6,1,30,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 1 - 6",10
"7",9,1,7,2,60,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 1 - 7",10
"8",9,1,8,1,60,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 1 - 8",10
"9",9,1,9,2,60,0,0,1,0,1,0,1,1,0,1,"","EA","9 - 1 - 9",5
"10",9,1,10,2,30,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 1 - 10",10
"11",9,2,11,3,0,1,0,1,1,1,1,0,1,1,1,"","EA","9 - 2 - 11",8
"12",9,2,12,3,0,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 2 - 12",10
"13",9,2,13,2,0,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 2 - 13",10
"14",9,2,14,3,0,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 2 - 14",10
"15",9,2,15,2,0,0,0,1,1,1,1,1,1,0,1,"","EA","9 - 2 - 15",7
"16",9,2,16,2,0,1,1,1,1,1,0,0,1,0,1,"","EA","9 - 2 - 16",7
"17",9,2,17,2,30,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 2 - 17",10
"18",9,2,18,1,60,1,0,1,1,1,1,1,1,0,1,"","EA","9 - 2 - 18",8
"19",9,2,19,1,90,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 2 - 19",10
"20",9,2,20,2,30,1,1,1,1,1,1,1,1,0,1,"","EA","9 - 2 - 20",9
"21",9,2,21,1,30,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 2 - 21",10
"22",9,3,22,3,0,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 3 - 22",10
"23",9,3,23,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 3 - 23",10
"24",9,3,24,2,0,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 3 - 24",10
"25",9,3,25,2,30,0,0,1,0,1,1,0,1,0,1,"","EA","9 - 3 - 25",5
"26",9,3,26,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 3 - 26",10
"27",9,3,27,2,0,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 3 - 27",10
"28",9,3,28,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 3 - 28",10
"29",9,3,29,1,90,1,1,1,1,1,1,0,1,1,1,"","EA","9 - 3 - 29",9
"30",9,3,30,2,0,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 3 - 30",10
"31",9,3,31,2,30,1,0,1,1,1,1,1,1,1,1,"","EA","9 - 3 - 31",9
"32",9,3,32,2,30,0,0,1,1,1,1,1,1,0,1,"","EA","9 - 3 - 32",7
"33",9,3,33,1,60,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 3 - 33",10
"34",9,3,34,1,30,1,1,1,1,1,1,0,1,1,1,"","EA","9 - 3 - 34",9
"35",9,4,35,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 4 - 35",10
"36",9,4,36,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 4 - 36",10
"37",9,4,37,2,30,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 4 - 37",10
"38",9,4,38,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 4 - 38",10
"39",9,4,39,2,30,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 4 - 39",10
"40",9,4,40,1,30,1,1,1,1,1,1,0,0,0,1,"","EA","9 - 4 - 40",7
"41",9,4,41,1,60,1,0,1,1,1,1,1,1,0,1,"","EA","9 - 4 - 41",8
"42",9,5,42,1,30,1,1,1,1,1,1,0,1,1,1,"","EA","9 - 5 - 42",9
"43",9,5,43,1,60,0,0,1,1,1,1,0,1,0,1,"","EA","9 - 5 - 43",6
"44",9,5,44,2,0,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 5 - 44",10
"45",9,5,45,1,60,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 5 - 45",10
"46",9,5,46,1,60,0,0,1,1,1,1,1,1,0,1,"","EA","9 - 5 - 46",7
"47",9,5,47,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 5 - 47",10
"48",9,5,48,1,30,0,0,1,0,1,1,0,1,0,0,"","EA","9 - 5 - 48",4
"49",9,5,49,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 5 - 49",10
"50",9,5,50,1,90,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 5 - 50",10
"51",9,5,51,1,60,0,0,0,0,0,0,0,0,0,0,"","EA","9 - 5 - 51",0
"52",9,5,52,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 5 - 52",10
"53",9,5,53,1,90,0,0,1,0,1,0,0,1,0,0,"","EA","9 - 5 - 53",3
"54",9,6,54,2,60,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 6 - 54",10
"55",9,6,55,2,0,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 6 - 55",10
"56",9,6,56,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 6 - 56",10
"57",9,6,57,1,30,0,0,1,1,1,1,0,1,0,1,"","EA","9 - 6 - 57",6
"58",9,6,58,2,0,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 6 - 58",10
"59",9,6,59,1,30,0,0,1,1,1,1,1,1,0,1,"","EA","9 - 6 - 59",7
"60",9,6,60,1,30,0,0,0,0,0,0,0,0,0,0,"","EA","9 - 6 - 60",0
