,trial_number,site_name,initial_set_date,initial_set_time,experiment_set_date,experiment_set_time,exp_set_lat_1,exp_set_lon_1,exp_set_depth_1,exp_set_lat_2,exp_set_lon_2,exp_set_depth_2,exp_set_temp_air,exp_set_temp_0m,exp_set_sal_0m,exp_set_temp_10m,exp_set_sal_10m,exp_set_tote_temp,exp_set_tote_sal,cloud_cover_percent,experiment_haul_date,experiment_haul_time,exp_haul_lat_1,exp_haul_lon_1,exp_haul_depth_1,exp_haul_lat_2,exp_haul_lon_2,exp_haul_depth_2,exp_haul_temp_air,exp_haul_temp_0m,exp_haul_sal_0m,exp_haul_temp_10m,exp_haul_sal_10m,exp_haul_tote_temp,exp_haul_tote_sal,immediate_release_number,X30min_number,X1h_number,X1h30min_numner,X2h_number,bags_out_of_water_time,last_trap_set_time,total_end_process_time,comments,Person
1,9,deep_harbour_head,3/6/2022,14:15,4/6/2022,11:39,50.79545,126.58515,33,50.79576667,126.5869667,33,13.6,12,26.2,9.2,30.7,NA,NA,NA,5/6/2022,11:36,50.79496667,126.5875,31,50.7951,126.5852333,32,15,11.6,26.6,9.6,30.5,NA,NA,39,39,39,39,0,13:59,14:07,0:08,Wind picked up for reflex assessment for traps 5 and 6. May have affected reflexes.,EA
2,4,blunden_passage_1,28/5/2022,12:25,29/5/2022,13:13,50.74578333,126.6223333,36,50.74461667,126.6211333,35,10.7,9.1,31.3,8.7,31.7,NA,NA,50,30/5/2022,7:40,50.7449,126.6225,30,50.7441,126.6213167,31,12.3,9,30.8,8.8,31.5,NA,NA,60,60,63,60,0,13:04,13:13,0:09,"Two prawns found in tote at end of experiment, will not have a trap associated",EA
3,5,burdwoods,28/5/2022,8:50,30/5/2022,12:39,50.79895,126.4547,34,50.79978333,126.4524667,42,13,10.2,28.6,9,30.4,NA,NA,NA,31/5/2022,7:40,50.80208333,126.4493667,49,50.80298333,126.4481167,44,13.1,10.1,28.9,8.3,31.5,NA,NA,40,40,40,40,0,12:33,12:39,0:06,May have lost some small banded prawns during experiment set up. Need to check data between start and end for how many were lost. ,EA
4,6,blunden_passage_2,29/5/2022,13:30,31/5/2022,12:18,50.74658333,126.6215667,30,50.745,126.6201667,36,14.1,9.2,31.3,8.7,31.7,NA,NA,NA,1/6/2022,8:50,50.74465,126.6212833,34,50.74521667,126.6218667,34,14.5,9.4,31,8.7,31.7,NA,NA,36,36,35,35,0,12:11,12:18,0:07,"Two prawns fell out of bags before release, one from 1 hour treatment, one from 1 hour 30 min treatment. Found a rostrum with a yellow band (1 hour 30 treatment) on side of boat after hauling at the end of experiment - not counted in final data as couldn't be assigned to a trap.",EA
5,22,deep_harbour_mouth,25/6/2022,8:30,27/6/2022,11:00,50.8002,126.6175167,49,50.80071667,126.6158,45,25.4,15.2,19.7,10,29,12.9,25.4,NA,28/6/2022,7:24,50.79998333,126.6181333,42,50.8005,126.6168,50,13.4,15,22.8,9.3,30.4,13.2,24.7,70,70,70,70,70,13:45,13:52,0:07,,EA
6,1,false_cove,22/5/2022,8:30,23/5/2022,7:45,50.73313333,126.5693333,27,50.73188333,126.5671833,26,12.9,9.8,31.2,8.5,31.7,NA,NA,100,24/5/2022,,50.73278333,126.5689,31,50.73181667,126.5667167,28,11,9.8,30.2,8.4,31.8,NA,NA,80,76,81,80,0,9:47,9:54,0:07,,EA
7,2,john_island,,,26/5/2022,8:00,50.77628333,126.6178833,27,50.77715,126.61785,30,12.9,9.8,29.9,8.8,31.2,NA,NA,25,27/5/2022,7:41,50.77703333,126.6171333,30,50.77658333,126.6179833,31,13.3,9.8,29.6,9,30.8,NA,NA,37,55,55,55,0,10:14,10:21,0:07,Accidentally tossed the bag for trap #2 over the side of the boat after collecting survival data at end of experiment. No reflex behaviours collected for trap #2.,EA
8,8,misty_passage_south,2/6/2022,9:50,3/6/2022,10:00,50.74356667,126.6447667,32,50.74306667,126.6475667,34,12.8,9.6,30.3,9.4,30.8,NA,NA,NA,4/6/2022,7:44,50.74313333,126.6469167,33,50.74243333,126.6489333,20,13.3,10,29.6,9.1,31.3,NA,NA,70,70,70,70,0,12:08,12:17,0:09,"Forgot to set timer at first. Was unable to assign one prawn to trap: stage 2, 41.6 mm, pink band, alive.",EA
9,7,misty_passage ,31/5/2022,12:30,2/6/2022,6:34,50.74518333,126.6423667,37,50.7449,126.6449667,36,14.3,9.1,31.4,8.1,31.7,NA,NA,100,3/6/2022,12:41,50.7442,126.6488167,32,50.74338333,126.6505167,32,13.2,9.6,30.5,8.9,31.6,NA,NA,50,50,50,50,50,9:27,9:39,0:12,"At trial end, one pink (30 min) and one orange (90 min) rostrum found on tote after hauling but unable to assign to trap. ",EA
10,3,nw_john_island,26/5/2022,10:40,28/5/2022,9:20,50.77915,126.6157167,24,50.77788333,126.6174833,27,15.2,9.2,30.4,8.6,31.3,NA,NA,0,29/5/2022,,50.77785,126.6176833,22,50.77711667,126.6175667,31,11.3,9.5,29.7,9.3,30.6,NA,NA,40,78,79,82,0,11:35,11:43,0:08,"During trial start, lost one blue (0 min) and one yellow (60 min) at end of experiment before setting it back down. ",EA
11,10,misty_blunden_mouth,6/3/2022,12:30,6/5/2022,7:49,50.74483333,126.6395833,38,50.74408333,126.6425667,32,15.5,10.1,30,9.5,30.6,NA,NA,100,6/6/2022,7:58,50.74426667,126.6398667,26.03,50.74408333,126.6419333,30.71,12.8,10,28.9,9.3,31.2,NA,NA,54,54,54,54,54,11:01,11:12,0:11,,KF
12,13,echo_bay_powell_point,6/15/2022,10:30,6/16/2022,9:18,50.761,126.4948833,51,50.7628,126.4930833,43,12,11.5,22,NA,NA,10.8,24.5,100,6/17/2022,9:20,50.76153333,126.49375,47.61,50.76215,126.4930833,42.97,11.8,NA,13,NA,NA,11,24.5,56,56,56,56,0,11:39,11:47,0:08,,KF
13,15,john_island_east,6/18/2022,12:30,6/19/2022,9:33,50.77361667,126.6051167,47,50.77356667,126.6039,49,11.9,NA,NA,NA,NA,10.5,27.5,100,6/20/2022,,50.77343333,126.6047333,47,50.7739,126.6045,50,15.5,NA,25,NA,NA,10.9,26,70,70,70,70,70,12:29,12:38,0:09,,KF
14,20,south_of_hayle_point,6/23/2022,11:00,6/25/2022,9:20,50.81175,126.56265,48,50.8128,126.5639833,31,25.7,14.6,16.2,9.5,29.2,12.2,25.4,0,6/26/2022,9:03,50.81303333,126.5658,33,50.81261667,126.5641,25,NA,15.1,10.8,10,28.8,12.5,25.2,70,70,70,70,70,12:33,12:42,0:09,one 60 min prawn did not make it down ,KF
15,17,davies_island_fifeside,6/19/2022,12:45,,11:25,50.7764,126.5959333,40,50.77618333,126.5992667,38,14.3,NA,19,NA,NA,10,29,100,6/22/2022,,50.77643333,126.5974,53,50.77636667,126.5953333,40,10.9,NA,21,9.4,29.3,11.7,24.6,60,60,60,60,60,14:29,14:39,0:10,ysi returned for end of experiment. Noticed reflexes declining traps 4-6,KF
