"","sort.trial.trial_number.","total_treatments","pulled","remain","lost_prawnz","unbanded","scavenged","dead","alive","stage_0_per_trial","stage_1_per_trial","stage_2_per_trial","stage_3_per_trial","salinity","temperature","percent_lost","percent_dead","percent_alive","percent_scavenged"
"1",1,5,317,274,43,44,29,57,188,8,163,39,46,26.6,11.8,13.5646687697161,20.8029197080292,68.6131386861314,10.5839416058394
"2",2,5,202,188,14,24,24,13,151,0,45,97,23,30.8,9.05,6.93069306930693,6.91489361702128,80.3191489361702,12.7659574468085
"3",3,5,279,258,21,26,32,28,197,0,128,67,43,28.9,10.15,7.52688172043011,10.8527131782946,76.3565891472868,12.4031007751938
"4",4,5,243,215,28,22,15,31,169,5,122,41,35,31,9.3,11.522633744856,14.4186046511628,78.6046511627907,6.97674418604651
"5",5,5,160,153,7,10,9,60,84,2,67,33,44,24.7,15.1,4.375,39.2156862745098,54.9019607843137,5.88235294117647
"6",6,5,142,104,38,4,16,9,79,7,65,12,13,30.2,9.8,26.7605633802817,8.65384615384615,75.9615384615385,15.3846153846154
"7",7,6,250,209,41,17,53,40,116,0,68,45,53,29.6,9.8,16.4,19.1387559808612,55.5023923444976,25.3588516746411
"8",8,6,280,286,-6,14,54,48,184,1,97,67,81,29.6,9.8,-2.14285714285714,16.7832167832168,64.3356643356643,18.8811188811189
"9",9,5,156,117,39,9,22,16,79,0,57,28,12,30.5,9.35,25,13.6752136752137,67.5213675213675,18.8034188034188
"10",10,6,270,201,69,24,76,41,84,9,68,39,35,29.7,9.35,25.5555555555556,20.3980099502488,41.7910447761194,37.8109452736318
"11",13,5,224,212,12,6,27,68,117,0,140,34,21,28.9,10.05,5.35714285714286,32.0754716981132,55.188679245283,12.7358490566038
"12",14,5,120,108,12,3,24,9,75,0,81,4,8,24.5,11.5,10,8.33333333333333,69.4444444444444,22.2222222222222
"13",15,6,350,295,55,3,80,107,108,0,150,51,50,26,NA,15.7142857142857,36.271186440678,36.6101694915254,27.1186440677966
"14",16,6,350,348,2,15,36,124,185,0,165,85,64,25.2,14.85,0.571428571428571,35.632183908046,53.1609195402299,10.3448275862069
"15",17,6,300,272,28,11,83,56,133,0,166,16,33,24.6,NA,9.33333333333333,20.5882352941176,48.8970588235294,30.5147058823529
"16",18,6,349,344,5,12,49,143,152,0,200,68,38,24,15.65,1.43266475644699,41.5697674418605,44.1860465116279,14.2441860465116
"17",19,6,350,309,41,7,90,68,151,0,123,51,64,26.1,13.3,11.7142857142857,22.0064724919094,48.8673139158576,29.126213592233
"18",20,6,350,345,5,10,11,222,112,0,172,51,111,26.5,13.35,1.42857142857143,64.3478260869565,32.463768115942,3.18840579710145
"19",21,5,220,176,44,5,14,105,57,0,44,45,80,25,15.2,20,59.6590909090909,32.3863636363636,7.95454545454545
"20",22,6,350,343,7,4,44,217,82,0,203,30,77,27.5,NA,2,63.265306122449,23.9067055393586,12.8279883381924
"21",23,6,300,297,3,3,20,193,84,0,124,66,89,25,NA,1,64.983164983165,28.2828282828283,6.73400673400673
