"","Trial Number","Date","Time of Day","Depth","Air Temperature","Salinity","0 Minute Number","30 Minute Number","60 Minute Number","90 Minute Number","120 Minute Number"
"6",1,"23/5/2022","7:45",27,12.9,31.2,80,76,81,80,0
"7",2,"26/5/2022","8:00",27,12.9,29.9,37,55,55,55,0
"10",3,"28/5/2022","9:20",24,15.2,30.4,40,78,79,82,0
"2",4,"29/5/2022","13:13",36,10.7,31.3,60,60,63,60,0
"3",5,"30/5/2022","12:39",34,13,28.6,40,40,40,40,0
"4",6,"31/5/2022","12:18",30,14.1,31.3,36,36,35,35,0
"9",7,"2/6/2022","6:34",37,14.3,31.4,50,50,50,50,50
"8",8,"3/6/2022","10:00",32,12.8,30.3,70,70,70,70,0
"1",9,"4/6/2022","11:39",33,13.6,26.2,39,39,39,39,0
"11",10,"6/5/2022","7:49",38,15.5,30,54,54,54,54,54
"12",13,"6/16/2022","9:18",51,12,24.5,56,56,56,56,0
"20",14,"18/06/2022",NA,36,12.3,26,30,30,30,30,0
"13",15,"6/19/2022","9:33",47,11.9,27.5,70,70,70,70,70
"21",16,"20/06/2022",NA,44,13.5,30,70,70,70,70,70
"15",17,"","11:25",40,14.3,29,60,60,60,60,60
"18",18,"6/22/2022","12:00",37,11.5,25.6,70,69,70,70,70
"17",19,"6/23/2022","9:13",42,17.8,25.1,70,70,70,70,70
"14",20,"6/25/2022","9:20",48,25.7,25.4,70,70,70,70,70
"16",21,"","11:50",44,22.2,24.7,44,44,44,44,0
"5",22,"27/6/2022","11:00",49,25.4,25.4,70,70,70,70,70
"19",23,"6/28/2022","10:01",26,18.7,25.9,60,60,60,60,60
