trial_number,trap_number,prawn_id,stage,treatment,abdomen_turgor,abdomen_retraction,leg_movement,leg_retraction,maxilliped_movement,maxilliped_retraction,antenna,eye_turgor,pleopods,mouth,comments
9,1,1,3,90,1,0,1,0,1,1,0,1,0,1,Missing telson
9,1,2,1,0,1,1,1,1,1,1,1,1,1,1,
9,1,3,1,60,1,1,1,1,1,1,1,1,1,1,
9,1,4,1,60,1,1,1,1,1,1,1,1,1,1,
9,1,5,1,60,1,1,1,1,1,1,0,1,1,1,
9,1,6,1,30,1,1,1,1,1,1,1,1,1,1,
9,1,7,2,60,1,1,1,1,1,1,1,1,1,1,
9,1,8,1,60,1,1,1,1,1,1,1,1,1,1,
9,1,9,2,60,0,0,1,0,1,0,1,1,0,1,
9,1,10,2,30,1,1,1,1,1,1,1,1,1,1,
9,2,11,3,0,1,0,1,1,1,1,0,1,1,1,
9,2,12,3,0,1,1,1,1,1,1,1,1,1,1,
9,2,13,2,0,1,1,1,1,1,1,1,1,1,1,
9,2,14,3,0,1,1,1,1,1,1,1,1,1,1,
9,2,15,2,0,0,0,1,1,1,1,1,1,0,1,
9,2,16,2,0,1,1,1,1,1,0,0,1,0,1,
9,2,17,2,30,1,1,1,1,1,1,1,1,1,1,
9,2,18,1,60,1,0,1,1,1,1,1,1,0,1,
9,2,19,1,90,1,1,1,1,1,1,1,1,1,1,
9,2,20,2,30,1,1,1,1,1,1,1,1,0,1,
9,2,21,1,30,1,1,1,1,1,1,1,1,1,1,
9,3,22,3,0,1,1,1,1,1,1,1,1,1,1,
9,3,23,1,0,1,1,1,1,1,1,1,1,1,1,
9,3,24,2,0,1,1,1,1,1,1,1,1,1,1,
9,3,25,2,30,0,0,1,0,1,1,0,1,0,1,
9,3,26,1,0,1,1,1,1,1,1,1,1,1,1,
9,3,27,2,0,1,1,1,1,1,1,1,1,1,1,
9,3,28,1,0,1,1,1,1,1,1,1,1,1,1,
9,3,29,1,90,1,1,1,1,1,1,0,1,1,1,
9,3,30,2,0,1,1,1,1,1,1,1,1,1,1,
9,3,31,2,30,1,0,1,1,1,1,1,1,1,1,
9,3,32,2,30,0,0,1,1,1,1,1,1,0,1,
9,3,33,1,60,1,1,1,1,1,1,1,1,1,1,
9,3,34,1,30,1,1,1,1,1,1,0,1,1,1,
9,4,35,1,0,1,1,1,1,1,1,1,1,1,1,
9,4,36,1,0,1,1,1,1,1,1,1,1,1,1,
9,4,37,2,30,1,1,1,1,1,1,1,1,1,1,
9,4,38,1,0,1,1,1,1,1,1,1,1,1,1,
9,4,39,2,30,1,1,1,1,1,1,1,1,1,1,
9,4,40,1,30,1,1,1,1,1,1,0,0,0,1,
9,4,41,1,60,1,0,1,1,1,1,1,1,0,1,
9,5,42,1,30,1,1,1,1,1,1,0,1,1,1,
9,5,43,1,60,0,0,1,1,1,1,0,1,0,1,
9,5,44,2,0,1,1,1,1,1,1,1,1,1,1,
9,5,45,1,60,1,1,1,1,1,1,1,1,1,1,
9,5,46,1,60,0,0,1,1,1,1,1,1,0,1,
9,5,47,1,0,1,1,1,1,1,1,1,1,1,1,
9,5,48,1,30,0,0,1,0,1,1,0,1,0,0,
9,5,49,1,0,1,1,1,1,1,1,1,1,1,1,
9,5,50,1,90,1,1,1,1,1,1,1,1,1,1,
9,5,51,1,60,0,0,0,0,0,0,0,0,0,0,
9,5,52,1,0,1,1,1,1,1,1,1,1,1,1,
9,5,53,1,90,0,0,1,0,1,0,0,1,0,0,
9,6,54,2,60,1,1,1,1,1,1,1,1,1,1,
9,6,55,2,0,1,1,1,1,1,1,1,1,1,1,
9,6,56,1,0,1,1,1,1,1,1,1,1,1,1,
9,6,57,1,30,0,0,1,1,1,1,0,1,0,1,
9,6,58,2,0,1,1,1,1,1,1,1,1,1,1,
9,6,59,1,30,0,0,1,1,1,1,1,1,0,1,
9,6,60,1,30,0,0,0,0,0,0,0,0,0,0,
9,6,61,1,0,1,1,1,1,1,1,1,1,1,1,
9,6,62,2,0,1,1,1,1,1,1,1,1,0,1,
9,6,63,1,30,0,0,0,0,0,0,0,0,0,0,
9,6,64,2,60,1,0,1,1,1,1,1,1,1,1,
9,6,65,1,0,0,0,1,0,1,1,0,1,0,1,
9,6,66,1,90,1,1,1,1,1,1,1,1,1,1,
9,6,67,1,0,1,1,1,1,1,1,1,1,1,1,
9,6,68,1,60,0,0,1,1,1,1,0,1,0,1,
9,6,69,1,60,1,1,1,1,1,1,1,1,1,1,
9,6,70,1,30,0,0,1,1,1,1,0,1,0,1,
4,1,1,1,90,1,1,1,1,1,1,1,1,1,1,
4,1,2,3,60,1,1,1,1,1,1,1,1,1,1,
4,1,3,3,30,1,1,1,1,1,1,1,1,1,1,
4,1,4,1,60,1,1,1,1,1,1,1,1,1,1,
4,1,5,1,90,1,1,1,1,1,1,1,1,1,1,
4,1,6,2,30,1,1,1,1,1,1,1,1,1,1,
4,1,7,3,0,1,1,1,1,1,1,1,1,1,1,
4,1,8,1,0,1,1,1,1,1,1,1,1,1,1,
4,1,9,2,30,1,1,1,1,1,1,1,1,1,1,
4,1,10,2,90,1,1,1,1,1,1,1,1,1,1,
4,1,11,1,60,1,1,1,1,1,1,1,1,1,1,
4,1,12,1,60,1,1,1,1,1,1,1,1,1,1,
4,1,13,1,30,1,1,1,1,1,1,1,1,1,1,
4,1,14,1,30,1,1,1,1,1,1,1,1,1,1,
4,1,15,1,0,1,1,1,1,1,1,1,1,0,1,
4,1,16,1,60,1,1,1,1,1,1,1,1,1,1,
4,1,17,1,0,1,1,1,1,1,1,0,1,1,1,
4,1,18,1,30,1,1,1,1,1,1,1,1,1,1,
4,1,19,1,0,1,1,1,1,1,1,1,1,1,1,
4,1,20,3,60,1,1,1,1,1,1,1,1,1,1,
4,2,21,1,30,1,1,1,1,1,1,1,1,1,1,
4,2,22,1,0,1,1,1,1,1,1,1,1,1,1,
4,2,23,1,90,1,0,1,1,1,1,1,0,1,1,
4,2,24,1,60,1,1,1,1,1,1,1,1,1,1,
