trial_number,trap_number,prawn_id,stage,treatment,abdomen_turgor,abdomen_retraction,leg_movement,leg_retraction,maxilliped_movement,maxilliped_retraction,antenna,eye_turgor,pleopods,mouth,comments
10,1,1,2,0,1,1,1,1,1,1,1,1,1,1,
10,1,2,1,0,1,1,1,1,1,1,1,1,1,1,
10,1,3,2,30,1,1,1,1,1,1,1,1,1,1,
10,1,4,1,0,1,1,1,1,1,1,1,1,1,1,
10,1,5,2,30,1,1,1,1,1,1,1,1,1,1,
10,1,6,3,0,0,0,1,1,1,1,0,1,0,1,
10,1,7,2,60,1,1,1,1,1,1,1,1,0,1,
10,1,8,3,30,1,1,1,1,1,1,1,1,1,1,
10,1,9,1,30,1,1,1,1,1,1,1,1,1,1,
10,1,10,3,0,1,1,1,1,1,1,1,1,1,1,
10,1,11,0,30,1,0,1,1,1,1,1,1,0,1,
10,2,12,1,60,1,1,1,1,1,1,1,1,1,1,
10,2,13,2,30,1,1,1,1,1,1,1,1,0,1,
10,2,14,2,90,1,1,1,1,1,1,1,1,0,1,
10,2,15,1,0,1,1,1,1,1,1,1,1,1,1,
10,2,16,1,0,1,1,1,1,1,1,1,1,1,1,
10,2,17,1,60,0,0,1,1,1,1,1,1,0,1,
10,2,18,1,0,1,1,1,1,1,1,1,1,1,1,
10,2,19,3,0,1,1,1,1,1,1,1,1,1,1,
10,2,20,1,0,1,1,1,1,1,1,1,1,1,1,
10,2,21,3,30,1,1,1,1,1,1,1,1,0,1,
10,2,22,3,30,0,0,1,1,1,1,1,1,0,1,
10,2,23,2,30,1,1,1,1,1,1,1,1,1,1,
10,2,24,1,0,1,1,1,1,1,1,1,1,1,1,
10,2,25,3,0,1,1,1,1,1,1,1,1,1,1,
10,2,26,2,0,1,1,1,1,1,1,1,1,1,1,
10,2,27,1,90,1,1,1,1,1,1,1,1,1,1,
10,2,28,1,0,1,1,1,1,1,1,1,1,1,1,
10,3,29,3,0,1,1,1,1,1,1,1,1,1,1,
10,3,30,1,0,1,1,1,1,1,1,1,1,1,1,
10,3,31,2,0,1,1,1,1,1,1,1,1,1,1,
10,3,32,2,30,1,1,1,1,1,1,1,1,1,1,
10,3,33,3,90,1,1,1,1,1,1,1,1,1,1,
10,3,34,2,30,0,0,1,1,1,1,1,1,0,1,
10,3,35,3,30,1,1,1,1,1,1,1,1,1,1,
10,3,36,1,60,1,1,1,1,1,1,1,1,1,1,
10,3,37,3,60,0,0,1,0,1,1,0,1,0,1,
10,3,38,3,0,1,1,1,1,1,1,1,1,1,1,
10,3,39,0,60,1,1,1,1,1,1,1,1,1,1,
10,3,40,0,60,1,1,1,1,1,1,1,1,1,1,
10,4,41,1,0,1,1,1,1,1,1,1,1,1,1,
10,4,42,1,0,1,1,1,1,1,1,1,1,1,1,
10,4,43,2,0,1,1,1,1,1,1,1,1,1,1,
10,4,44,2,60,1,1,1,1,1,1,1,1,1,1,
10,4,45,2,30,1,1,1,1,1,1,1,1,0,1,
10,4,46,2,0,1,1,1,1,1,1,1,1,1,1,
10,4,47,1,30,0,0,1,1,1,1,1,1,0,1,
10,4,48,1,0,1,1,1,1,1,1,1,1,1,1,
10,4,49,3,60,0,0,1,1,1,1,1,1,0,1,
10,4,50,1,0,1,1,1,1,1,1,1,1,1,1,
10,4,51,1,0,1,1,1,1,1,1,1,1,1,1,
10,4,52,1,0,1,1,1,1,1,1,1,1,1,1,
10,4,53,1,30,1,1,1,1,1,1,1,1,1,1,
10,4,54,1,90,1,1,1,1,1,1,1,1,1,1,
10,5,55,3,0,1,1,1,1,1,1,1,1,1,1,
10,5,56,2,30,0,0,1,1,1,1,1,1,0,1,
10,5,57,1,30,1,1,1,1,1,1,1,1,1,1,
10,5,58,2,0,1,1,1,1,1,1,1,1,1,1,
10,5,59,1,0,1,1,1,1,1,1,1,1,1,1,
10,5,60,2,60,1,1,1,1,1,1,1,1,1,1,
10,5,61,1,0,1,1,1,1,1,1,1,1,1,1,
10,5,62,3,30,1,1,1,1,1,1,1,1,1,1,
10,5,63,3,0,1,1,1,1,1,1,1,1,1,1,
10,5,64,1,30,1,1,1,1,1,1,1,1,0,1,
10,5,65,3,0,1,1,1,1,1,1,1,1,1,1,
10,5,66,3,0,1,1,1,1,1,1,1,1,1,1,
10,5,67,1,30,1,1,1,1,1,1,1,1,1,1,
10,5,68,1,0,1,1,1,1,1,1,1,1,1,1,
10,5,69,1,30,1,1,1,1,1,1,1,1,0,1,telson missing
10,5,70,1,90,0,0,0,0,0,0,0,0,0,0,
10,5,71,2,0,1,1,1,1,1,1,1,1,1,1,
10,5,72,1,0,1,1,1,1,1,1,1,1,1,1,
10,5,73,1,90,1,0,1,1,1,1,1,1,1,1,
10,5,74,1,0,1,1,1,1,1,1,1,1,1,1,
10,5,75,1,0,1,1,1,1,1,1,1,1,1,1,
10,5,76,1,0,1,1,1,1,1,1,1,1,1,1,
10,5,77,0,30,0,0,1,1,1,1,0,1,0,1,
10,5,78,1,0,1,1,1,1,1,1,1,1,1,1,
10,5,79,0,90,0,0,1,1,1,1,1,0,0,1,
10,5,80,1,60,1,1,1,1,1,1,0,1,1,1,
10,5,81,1,0,1,1,1,1,1,1,1,1,1,1,
10,5,82,1,0,1,1,1,1,1,1,1,1,1,1,
10,5,83,0,0,1,1,1,1,1,1,1,1,1,1,
10,5,84,0,0,1,1,1,1,1,1,1,1,0,1,
10,6,85,3,0,1,1,1,1,1,1,1,1,1,1,
10,6,86,3,0,1,1,1,1,1,1,1,1,1,1,
10,6,87,2,60,1,1,1,1,1,1,1,1,1,1,
10,6,88,1,0,1,1,1,1,1,1,1,1,1,1,
10,6,89,3,60,0,0,0,0,0,0,0,1,0,0,
10,6,90,1,60,1,1,1,1,1,1,1,1,0,1,
10,6,91,1,60,0,0,1,1,1,1,1,1,0,1,
10,6,92,2,60,1,1,1,1,1,1,1,1,1,1,
10,6,93,1,0,1,1,1,1,1,1,1,1,1,1,
10,6,94,1,0,1,1,1,1,1,1,1,1,1,1,
10,6,95,1,0,1,1,1,1,1,1,1,1,0,1,
10,6,96,1,60,0,0,1,1,1,1,1,1,0,1,
13,1,1,1,0,1,1,1,1,1,1,1,1,1,1,
13,1,2,1,60,1,1,1,1,1,1,1,1,0,1,
13,1,3,1,0,1,1,1,1,1,1,1,1,1,1,
13,1,4,1,30,0,1,1,1,1,1,1,1,1,1,
13,1,5,2,0,0,0,1,1,1,1,1,1,0,1,
13,1,6,1,30,1,1,1,1,1,1,1,1,1,1,
13,1,7,1,60,1,1,1,1,1,1,1,1,1,1,
13,1,8,1,30,1,1,1,1,1,1,1,1,1,1,
13,1,9,1,30,1,1,1,1,1,1,1,1,1,1,
13,1,10,1,60,0,1,1,1,1,1,1,1,1,1,
13,1,11,1,30,1,1,1,1,1,1,1,1,1,1,
