trial_number,trap_number,prawn_id,stage,treatment,abdomen_turgor,abdomen_retraction,leg_movement,leg_retraction,maxilliped_movement,maxilliped_retraction,antenna,eye_turgor,pleopods,mouth,comments
14,1,1,2,0,1,1,1,1,1,1,1,1,1,1,
14,1,2,1,60,1,1,1,1,1,1,1,1,1,1,
14,1,3,1,30,1,1,1,1,1,1,1,1,1,1,
14,1,4,2,0,1,1,1,1,1,1,1,1,1,1,
14,1,5,1,90,1,1,1,1,1,1,1,1,1,1,
14,1,6,1,60,1,1,1,1,1,1,1,1,1,1,
14,1,7,1,0,1,1,1,1,1,1,1,1,1,1,
14,1,8,1,60,0,0,1,1,1,1,0,1,0,1,
14,1,9,1,60,1,1,1,1,1,1,1,1,1,1,
14,1,10,1,90,1,1,1,1,1,1,1,1,1,1,
14,1,11,1,30,1,1,1,1,1,1,1,1,1,1,
14,1,12,1,90,1,1,1,1,1,1,1,1,1,1,
14,1,13,1,30,1,1,1,1,1,1,1,1,1,1,
14,1,14,1,60,1,1,1,1,1,1,1,1,1,1,
14,1,15,1,30,1,1,1,1,1,1,1,1,1,1,
14,1,16,1,0,1,1,1,1,1,1,0,1,1,1,
14,1,17,1,0,1,1,1,1,1,1,1,1,1,1,
14,1,18,1,30,0,0,1,1,1,1,0,1,0,1,
14,1,19,1,60,1,1,1,1,1,1,1,1,1,1,
14,1,20,1,0,1,1,1,1,1,1,1,1,1,1,
14,1,21,1,90,1,1,1,1,1,1,0,1,1,1,
14,1,22,1,0,1,1,1,1,1,1,1,1,1,1,
14,1,23,1,60,1,1,1,1,1,1,1,1,1,1,
14,1,24,1,30,1,1,1,1,1,1,1,1,0,1,
14,1,25,1,60,1,1,1,1,1,1,1,1,1,1,
14,2,26,1,60,1,1,1,1,1,1,1,1,1,1,
14,2,27,1,0,1,1,1,1,1,1,1,1,1,1,
14,2,28,1,0,1,1,1,1,1,1,1,1,1,1,
14,2,29,1,60,1,1,1,1,1,1,1,1,1,1,
14,2,30,3,30,1,1,1,1,1,1,1,1,1,1,
14,2,31,3,30,0,0,1,1,1,1,1,1,0,1,
14,2,32,2,30,1,1,1,1,1,1,1,1,1,1,
14,2,33,1,30,1,1,1,1,1,1,1,1,1,1,
14,2,34,1,0,1,1,1,1,1,1,1,1,1,1,
14,2,35,1,30,1,0,1,1,1,1,1,1,0,1,
14,2,36,1,30,1,1,1,1,1,1,1,1,1,1,
14,2,37,1,0,1,1,1,1,1,1,1,1,1,1,
14,2,38,1,30,1,1,1,1,1,1,1,1,1,1,
14,2,39,3,30,1,1,1,1,1,1,1,1,1,1,
14,2,40,1,90,1,1,1,1,1,1,0,1,0,1,
14,2,41,1,0,1,1,1,1,1,1,1,1,1,1,
14,2,42,1,0,0,0,1,1,1,1,1,1,0,1,
14,2,43,1,30,0,0,1,1,1,1,1,1,0,1,
14,2,44,1,30,1,1,1,1,1,1,1,1,1,1,
14,2,45,1,60,0,0,1,1,1,1,1,1,0,1,
14,2,46,1,0,1,1,1,1,1,1,1,1,1,1,
14,2,47,1,30,1,1,1,1,1,1,1,1,1,1,
14,3,48,1,60,1,1,1,1,1,1,1,1,1,1,
14,3,49,1,0,1,1,1,1,1,1,1,1,1,1,
14,3,50,1,0,1,1,1,1,1,1,1,1,1,1,
14,3,51,1,0,1,1,1,1,1,1,1,1,1,1,
14,3,52,1,0,1,1,1,1,1,1,1,1,1,1,
14,3,53,1,30,1,1,1,1,1,1,1,1,1,1,
14,3,54,1,0,1,1,1,1,1,1,1,1,0,1,
14,3,55,1,30,1,1,1,1,1,1,1,1,1,1,
14,3,56,3,0,1,1,1,1,1,1,1,1,1,1,
14,3,57,1,60,0,0,1,1,1,1,1,1,0,1,
14,3,58,1,90,1,1,1,1,1,1,1,1,1,1,
14,3,59,1,90,1,1,1,1,1,1,1,1,1,1,
14,3,60,1,60,1,1,1,1,1,1,1,1,1,1,
14,3,61,1,0,1,1,1,1,1,1,1,1,1,1,
14,3,62,1,90,0,0,1,0,1,0,0,1,0,1,
14,3,63,1,60,1,1,1,1,1,1,1,1,1,1,
14,3,64,1,90,0,0,1,1,1,1,0,1,0,1,
14,3,65,1,90,1,1,1,1,1,1,0,1,1,1,
14,3,66,1,30,1,1,1,1,1,1,1,1,1,1,
14,3,67,1,90,0,0,1,1,1,1,0,1,0,1,
14,3,68,1,60,0,0,0,0,0,0,0,1,0,1,
14,3,69,1,60,1,1,1,1,1,1,1,1,1,1,
14,3,70,1,0,1,1,1,1,1,1,1,1,0,1,
14,3,71,1,30,0,0,1,1,1,1,1,1,0,1,
