"","model.name","BIC","deltaBIC","weights","logLik"
"1","Treatment x Temperature + Temperature x Length",4357.71490672977,0,0.717900867192151,-2149.71
"2","Treatment x Temperature + Length",4360.0080482548,2.29,0.22809466246069,-2155.07
"3","Treatment x Temperature",4363.86202071906,6.15,0.0332074582538596,-2161.21
"4","Treatment x Temperature + Treatment x Length + Temperature x Length",4365.7592243341,8.04,0.0128606554981057,-2149.51
"5","Treatment x Temperature + Treatment x Length",4366.72470361336,9.01,0.00793618792479358,-2154.21
"6","Temperature x Length + Treatment",4389.5889255043,31.87,8.60417516062388e-08,-2169.86
"7","Length + Treatment + Temperature",4389.97548580985,32.26,7.09200020039068e-08,-2174.26
"8","Treatment + Temperature",4394.84522194641,37.13,6.21325206713998e-09,-2180.91
"9","Treatment x Length + Temperature",4396.03100781617,38.32,3.43422577171466e-09,-2173.07
"10","Treatment x Length + Temperature x Length",4397.0520448019,39.34,2.06116841433796e-09,-2169.37
"11","Treatment + Length",4428.04797817136,70.33,3.83205793857221e-16,-2197.62
"12","Treatment x Length",4434.22550325622,76.51,1.74582029837985e-17,-2196.49
"13","Treatment",4434.76711612717,77.05,1.33164909437706e-17,-2205.19
"14","Temperature + Length",5829.18959202374,1471.47,2.13485765568003e-320,-2898.29
"15","Temperature",5835.47525320295,1477.76,9.23902757723131e-322,-2905.65
"16","Temperature x Length",5836.19998461879,1478.49,6.4228533959362e-322,-2897.58
"17","Length",5866.72068793611,1509.01,0,-2921.43
"18","Null",5874.74178209338,1517.03,0,-2929.67
