"","model.name","BIC","deltaBIC","weights","logLik"
"1","Treatment x Temperature + Temperature x Length",4359.78447107441,0,0.720165222054696,-2150.74
"2","Treatment x Temperature + Length",4362.08917668228,2.3,0.227494908251039,-2156.11
"3","Treatment x Temperature",4366.0357490705,6.25,0.0316216389365491,-2162.3
"4","Treatment x Temperature + Treatment x Length + Temperature x Length",4367.83578085095,8.05,0.0128561946934124,-2150.55
"5","Treatment x Temperature + Treatment x Length",4368.8193819907,9.03,0.00786187558967455,-2155.25
"6","Temperature x Length + Treatment",4391.75385150975,31.97,8.22942304265645e-08,-2170.94
"7","Length + Treatment + Temperature",4392.15449108046,32.37,6.73552745765994e-08,-2175.35
"8","Treatment + Temperature",4397.1181537914,37.33,5.63022755836811e-09,-2182.05
"9","Treatment x Length + Temperature",4398.22607022813,38.44,3.23552642232993e-09,-2174.17
"10","Treatment x Length + Temperature x Length",4399.2292086421,39.44,1.95936890642694e-09,-2170.46
"11","Treatment + Length",4430.1788514897,70.39,3.72809232585178e-16,-2198.68
"12","Treatment x Length",4436.37168730822,76.59,1.68550268007944e-17,-2197.56
"13","Treatment",4436.99943846366,77.21,1.23144498947353e-17,-2206.31
"14","Temperature + Length",5830.32765291683,1470.54,3.41201735017965e-320,-2898.85
"15","Temperature",5836.68604785116,1476.9,1.41796840356438e-321,-2906.25
"16","Temperature x Length",5837.33303207485,1477.55,1.02765654334979e-321,-2898.14
"17","Length",5867.81781829735,1508.03,0,-2921.98
"18","Null",5875.91552474626,1516.13,0,-2930.25
