"","Best model","Best model(No small)","Average model","Average model (No small)","Main Effects"
"(Intercept)",0.128,0.095,0.132,0.099,0.221
"length",-0.119,-0.068,-0.126,-0.071,-0.153
"temp",-0.858,-0.842,-0.853,-0.839,-0.729
"treatment",-1.58,-1.582,-1.577,-1.57,-1.524
"length:temp",0.163,0.153,0.163,-0.094,0
"temp:treatment",-0.358,-0.359,-0.355,-0.35,0
"length:treatment",0,0,-0.042,0.152,0
"RE SD",0.8791,0.9342,NA,NA,0.8697
"Correlation",0.656211365834375,NA,0.656186445654247,NA,0.656102640468212
"Accuracy",0.790252393385553,NA,0.790905134899913,NA,0.789382071366406
"Max Deviance",0.0481522980757634,NA,0,NA,0.0508501152810108
