"","model.name","BIC","deltaBIC","weights","logLik"
"1","Treatment x Temperature + Temperature x Length",4359.63381608412,0,0.726270892647866,-2150.67
"2","Treatment x Temperature + Length",4361.99054674234,2.36,0.223532707692014,-2156.06
"3","Treatment x Temperature",4366.03574907435,6.4,0.0295758035819405,-2162.3
"4","Treatment x Temperature + Treatment x Length + Temperature x Length",4367.68979166261,8.06,0.0129349802187084,-2150.48
"5","Treatment x Temperature + Treatment x Length",4368.73100318861,9.1,0.00768545455322554,-2155.21
"6","Temperature x Length + Treatment",4391.58012669314,31.95,8.39547807132985e-08,-2170.85
"7","Length + Treatment + Temperature",4392.03463091633,32.4,6.68884440447519e-08,-2175.29
"8","Treatment + Temperature",4397.11815379139,37.48,5.2659669235908e-09,-2182.05
"9","Treatment x Length + Temperature",4398.1127730816,38.48,3.20257487544108e-09,-2174.11
"10","Treatment x Length + Temperature x Length",4399.05991884719,39.43,1.99447778072152e-09,-2170.38
"11","Treatment + Length",4430.04998895134,70.42,3.7189555060301e-16,-2198.62
"12","Treatment x Length",4436.24822585583,76.61,1.67683735368046e-17,-2197.5
"13","Treatment",4436.99943846353,77.37,1.15177379883148e-17,-2206.31
"14","Temperature + Length",5830.28679738151,1470.65,3.25737480303134e-320,-2898.83
"15","Temperature",5836.68604785116,1477.05,1.32903658731295e-321,-2906.25
"16","Temperature x Length",5837.31005730248,1477.68,9.73309322307256e-322,-2898.13
"17","Length",5867.77197900121,1508.14,0,-2921.95
"18","Null",5875.91552475133,1516.28,0,-2930.25
